Gesture Name,Gesture Number,Sample Number,Acceleration_x,Acceleration_y,Acceleration_z,Rotation_i,Rotation_j,Rotation_k,Rotation_real
slide_right,1,1,34.105469,-12.058594,4.605469,1.0,-5.551115123125783e-17,3.469446951953614e-18,0.0
slide_right,1,1,34.97522104040404,-11.276081373737373,4.64776697979798,0.9995772487181607,0.022261708214465353,-0.006245378578126343,0.006118960766794321
slide_right,1,1,34.27477904040404,-11.080492585858586,4.278527535353535,0.9986329876072233,0.04611944957573601,-0.011015584653714158,0.011916800420757158
slide_right,1,1,32.162405303030305,-11.455965909090908,3.545217575757576,0.9971369895656391,0.07171478632683344,-0.014302807678155892,0.01742860389681146
slide_right,1,1,30.55508207070707,-12.566287878787879,3.0720094343434345,0.994042528717805,0.10324857820702474,-0.014725947375280421,0.023101693092520612
slide_right,1,1,29.08720003030303,-14.087436676767677,2.8701865454545454,0.9853857224940366,0.1583129406750871,-0.00983363441830343,0.03056634789422843
slide_right,1,1,27.11730563636364,-16.424241939393937,3.049005696969697,0.9727403251544168,0.22819132459900543,-0.0009160496849924796,0.038771975641143534
slide_right,1,1,18.96172657575758,-23.866042929292924,4.992069313131312,0.9627012206370953,0.2661105960875287,0.007683746594092603,0.04061047939673764
slide_right,1,1,13.439828070707069,-28.667692404040405,5.637705323232323,0.940296727058257,0.3307965528071496,0.02435851709091242,0.039345668674642946
slide_right,1,1,8.568537181818183,-32.213778363636365,4.975852272727273,0.9088040176248794,0.4115898361638939,0.045287683875034415,0.0355363867702955
slide_right,1,1,-2.8730663535353482,-38.45801729292929,1.190183080808083,0.8692766995266593,0.4867979201021676,0.06063390553953764,0.028011781724911828
slide_right,1,1,-8.118489444444444,-41.45052066666667,-0.9913194444444449,0.8243237671985304,0.5579509590678334,0.07004841787157358,0.020564816102424374
slide_right,1,1,-10.178503787878787,-43.047230393939394,-2.3342803030303028,0.7809321829629444,0.6196422463593596,0.0754232563231363,0.013628143906240115
slide_right,1,1,-12.483743686868685,-46.03716901010101,-3.677241161616161,0.7576956449106697,0.6476823837246193,0.0764943097648997,0.008844305463256577
slide_right,1,1,-17.88596882828282,-47.198587818181814,-5.995659959595957,0.05409997113803977,0.01559943242869788,0.003139082026921189,0.005206710052661805
slide_right,1,1,-23.56853654545455,-46.04190369696969,-8.489465424242427,-0.7116956360190317,-0.6978317164423794,-0.07876745011607776,0.004756915248758018
slide_right,1,1,-25.654356181818184,-39.54652034343434,-10.152304585858587,-0.6894673226688689,-0.7194713513645862,-0.08052654330721529,0.013667250840695973
slide_right,1,1,-26.91157682828283,-26.008049616161614,-12.229442737373738,-0.6691514792971375,-0.7378192600795216,-0.08314167507926179,0.02284556622349257
slide_right,1,1,-29.007812545454545,-11.246093909090911,-13.480823454545455,-0.6507670325493508,-0.7536625389938071,-0.08594005227413919,0.03124296603283866
slide_right,1,1,-34.15494813131313,0.3276911515151433,-12.100852202020203,-0.6358701793978208,-0.7657343344848307,-0.08844495296683713,0.037266509930252566
slide_right,1,1,-35.230469,2.746094,-11.8125,-0.6249222128215381,-0.7745174466743617,-0.08937686873386531,0.03897571089429457
slide_right,1,1,-34.1027463030303,1.8918089090909063,-11.924360848484849,-0.6165524612812188,-0.7813276568975874,-0.08904287525361854,0.0378872672328483
slide_right,1,1,-30.504773888888888,-0.8337673333333346,-12.281250222222221,-0.6115453380456785,-0.7857191582729329,-0.08684609250767095,0.03316699900010922
slide_right,1,1,-19.27706733333333,0.8178664444444448,-11.475891838383838,-0.6108221867874255,-0.7880200670722903,-0.07292859158472387,0.015429621899498855
slide_right,1,1,-10.714488696969697,2.732718303030303,-10.314393818181818,-0.6116057665921667,-0.7887527426593319,-0.06163077014351344,0.0018776693174101609
slide_right,1,1,-9.612097767676765,3.5786778989899006,-8.923847393939392,-0.613581228580266,-0.7874114187770174,-0.05915146647740912,0.00040577234179711057
slide_right,1,1,-11.482520767676764,3.9171403535353533,-5.708175303030307,-0.6159598829097701,-0.7856774429850868,-0.05742534998784575,-0.0004569428178236506
slide_right,1,1,-12.833451818181818,3.9737214545454544,-3.442471454545454,-0.6185411928107726,-0.7837553871689608,-0.05590785366525021,-0.0013778470714234103
slide_right,1,1,-12.817589737373739,3.7146459898989903,-2.950757101010102,-0.6213417403762359,-0.7816335697420226,-0.05454812488662894,-0.0025073291297362556
slide_right,1,1,-11.737570929292929,3.176688888888889,-2.554450727272727,-0.6243340976763179,-0.7793256290307423,-0.053171314008743156,-0.004547116277453316
slide_right,1,1,-9.646069999999993,2.493134666666665,-2.1563685454545443,-0.6273265508956367,-0.7769887304568035,-0.05188751574524689,-0.00687346480833442
